Company Name,Location,Description,Website,Reason for Failure
NeuroVista,"Seattle, Washington, United States",NeuroVista is a medical device company pioneering new technologies for the management and treatment of epilepsy.,www.neurovista.com,
New Haven Pharmaceuticals,"Guilford, Connecticut, United States",New Haven Pharmaceuticals develops prescription pharmaceuticals that utilize drugs or GRAS active pharmaceutical ingredients.,www.newhavenpharma.com,
New Matter,"Pasadena, California, United States","New Matter offers MOD-t, an end-to-end consumer 3D printer that allows users of all skill levels to find, customize, and print objects.",newmatter.com,
New Zealand Free Classifieds,"Auckland, Auckland, New Zealand",New Zealand Free Classifieds is a website providing facilities for publishers to place free ads.,www.newzealandclassifiedsflyer.com,
Next Step Living,"Boston, Massachusetts, United States",Next Step Living provides home energy evaluations and solutions for individuals and organizations.,nextstepliving.com/,
nGage Labs,"Scottsdale, Arizona, United States",nGage Labs is an enterprise software company that offers personalized mobile engagement solutions.,www.ngagelabs.com,
Night Up,"New York, New York, United States","NightUp is a nightlife app that streamlines event promoting, cover and bottle purchasing, and transaction processing transactions.",nightuplife.com,
Nirvanix,"San Diego, California, United States",Nirvanix offers cloud storage solutions to avoid downtime losses for customers expecting security reliability and redundancy levels.,www.nirvanix.com,
Nitrous,"San Francisco, California, United States",Nitrous offers web applications development.,www.nitrous.io,
nivio,"Gurgaon, Haryana, India",Nivio develops desktop virtualization services that allow customers to use computer application software without a personal computer.,www.nivio.com,
North Technologies,"San Francisco, California, United States",A startup in the consumer internet space,www.n-o-r-t-h-t-e-c-h-n-o-l-o-g-i-e-s.com/,
NousDecor,"San Mateo, California, United States",Online interior design services & commerce for decor,www.nousdecor.com,
NOVASYS MEDICAL,"Newark, California, United States","Novasys Medical offers Novasys Micro-remodeling System, designed to treat female stress urinary incontinence (SUI).",www.novasysmedical.com,
Nubo Software,"Lod, HaMerkaz, Israel",Nubo Software develops Virtual Mobile Infrastructure (VMI) for enterprise mobility.,www.nubosoftware.com,
NUKERN,"Montréal, Quebec, Canada",Automated billing and provisioning platform for web hosts and agencies.,www.nukern.com,
NutshellMail,"Atherton, California, United States",NutshellMail is a service enabling small businesses to manage and monitor their social media presence and online brand reputation.,nutshellmail.com,
nVoq,"Boulder, Colorado, United States",nVoq provides a cloud-based speech-to-text solution to improve workflow in communication and health care companies.,www.nvoq.com,
Offermatic,"San Mateo, California, United States",Offermatic is a free service that delivers offers to users based on their credit or debit card purchase history.,www.offermatic.com,
Oliver,"New York, New York, United States",Oliver is a platform that connects renters directly with landlords.,www.getoliver.com,
Omni,"London, England, United Kingdom","Omni is a dock-less bike share system, aims to revolutionize urban mobility and solve the first and last mile transportation challenges.",www.bikeomni.com,
OMsignal,"Montréal, Quebec, Canada",Omsignal manufactures bio-sensing clothing that connects to iPhones and iPads in real time.,omsignal.com,"Elizabeth Holmes was a real sensation in the media, often featured on the covers of various business magazines and lists of top executives and innovators. On top of this, she was also honored with an interview with former US President Bill Clinton. During these media opportunities, Holmes stated that Theranos’ goal was to give people the power to have critical health information at the time it mattered and that she wanted to create a world in which no one ever had to say the phrase ""if only I had known sooner."" 

However, despite this ambitious goal, in October of 2015, when investigative reporter John Carreyrou of The Wall Street Journal questioned the validity of Theranos' technology, Holmes and her company started slipping into hotter and hotter water. The company soon found itself facing legal and commercial challenges from medical authorities and investors. The U.S. Securities and Exchange Commission (SEC), Centers for Medicare and Medicaid Services (CMS), state attorney generals, former business partners, and former patients among other parties got involved in uncovering the fraud and by June of 2016, it was estimated that Holmes's personal net worth had dropped from $4.5 billion to virtually nothing following Holmes’ charging of wire fraud, among a list of other accusations. Soon after this, in September 2018, Theranos ceased operations. 

So what exactly happened here? Why did it take over a decade to expose this company? 

The story begins much earlier in 2002 when Elizabeth Holmes arrived at Stanford University with her breakthrough ideas. Holmes wanted to build a patch that would scan the wearer for infections and through its results, release the necessary antibiotics a patient needed. However, Dr. Phyllis Gardner, Holmes’ professor, tried to explain to her that the antibiotics Holmes wanted to use needed to be given at higher doses than a patch could deliver and that her idea would be difficult to implement. Undeterred, Holmes went on to drop out of Stanford University in 2003 at the age of 19 to start Theranos, then called Real-Time Cures under the disproven premise. As John Carreyrou points out in his thrilling non-fiction masterpiece, Bad Blood, Holmes had an unusual obsession with Steve Jobs that manifested in an obsessive copying of Job’s dressing style and making her employees read his books. Holmes had also infamously claimed that her device would soon be the “iPod of healthcare.” This “Apple complex” that Holmes possessed also led her to spy on her employees and demanded absolute loyalty from them.  

As Holmes’ scaled Theranos up and members of the team inevitably found out about the fabled, fraudulent technology, as the company scaled up operations, various early. ""disgruntled employees"" were fired, threatened, and sued for trying to expose the reliability of the technology that Holmes claimed as revolutionary. The fraud was exposed when a former employee during the peak years of the company, Tyler Shultz, had attempted to bring concerns about the company's activities to his management, and when that had failed, he had spoken to Carreyrou and under an alias, reported the company to the New York State Department of Health. Despite ardent efforts by Holmes trying to get Rupert Murdoch to shut down the story that Carreyrou published on her, everything came crumbling downhill for what’s gone down as possibly one of the biggest frauds ever in the healthcare industry. 







"
One Pebble,"Austin, Texas, United States",One Pebble,www.onepebble.com,
OneChip Photonics,"Ottawa, Ontario, Canada",OneChip Photonics develops and manufactures optical transceiver chips for mass applications.,www.onechipphotonics.com/company.htm,
OneSun,"Graton, California, United States",OneSunn is a provider of commercial solar photovoltaic (PV) and thermal systems that offer solar systems to establishments.,onesuninc.com,
OneUni,"Oakland, California, United States",Smartphone-Based Degrees from Top Universities,www.oneuni.co,
OnLive,"Mountain View, California, United States","OnLive, a cloud gaming company offering a cloud gaming platform and a cloud desktop system that develops server-based video game processing.",www.onlive.com,
ONtheGO Platforms,"Portland, Oregon, United States",ONtheGO Platforms is creating a new interface for wearable devices.,www.otgplatforms.com,
oort Inc,"San Francisco, California, United States",OORT designs and manufactures hardware and software solutions which enable customers to turn their home or office into a smart one.,—,
Open Places,"San Francisco, California, United States",Open Places is an iOS application and website that helps users find great places nearby.,openplac.es,
OpenBuildings,"Sofia, Grad Sofiya, Bulgaria","OpenBuildings is a community-driven directory of buildings enabling individuals to share historic, contemporary and conceptual architecture.",openbuildings.com,
OpenFeint,"Burlingame, California, United States",OpenFeint is a social platform for mobile games that allows social networking features to be integrated into the game's functionality.,openfeint.com,
OpTier,"New York, New York, United States",OpTier is a cloud-based platform that creates contextual big data to accelerate business growth and analyze business transactions.,www.optier.com,"One of the main reasons that were recognized as having pushed the founders of Optier to discontinue the application was the little market share, revenue and investment capital to re-position and regain growth. The company had raised over $100m in the seed funding but never kept pace with the market changes.

OpTier was founded when websites were the main center of attention were website-based application and their technology required months in order to provide meaningful transactions monitoring. However new companies were now able to provide the same service in a matter of hours and OpTier wasn’t quick enough to adapt to the new market expectations.

Another element that factored in OpTier becoming suddenly obsolete was the launch of the iPhone and the start of the mobile based applications. Mobile phone brought up a system of interaction compared to the later where the focus was on monitoring system performance and APM had to expand to analyze customer trends across multiple channels. Again OpTier, which had already started experience losses, lacked enough capital to implement such profound changes to its technology so as to meet the new customers’ demands."
Optify,"Seattle, Washington, United States",Optify offers cloud-based digital marketing software that enables agencies to create and manage their programs.,www.optify.net,
Oraya Therapeutics,"Newark, California, United States",Oraya Therapeutics develops non-invasive robotically-controlled treatments for inflammatory and neovascular diseases of the eye.,www.orayainc.com,
OrderWithMe,"Las Vegas, Nevada, United States",WithMe is an on-demand retail platform for brands to quickly open turnkey omni-channel stores in major cities.,www.with.me/,
Ossic,"San Diego, California, United States",Ossic develops hardware and software solutions for a 3D audio headphones.,www.ossic.com,
Outline,"Cambridge, Massachusetts, United States",Outline builds public policy simulators for city and state governments.,—,
OUTRO,"Salt Lake City, Utah, United States",B2B SaaS Referral Automation Platform + Crowdsourced Introductions. Say goodbye to manually making & receiving referrals/introductions.,outro.com,
Overcart,"New Delhi, Delhi, India",Overcart is India's first marketplace for over-stock,www.overcart.com/,
Owlized,"San Leandro, California, United States",Owlized produces location-based virtual reality tools that help people connect deeply with the most visited destinations on Earth.,www.owlized.com/,
Oyster,"New York, New York, United States",Oyster is an ebook subscription service and ebook retailer.,www.oysterbooks.com,
Pact Fitness,"San Francisco, California, United States",GymPact is a check-in app that gives cash incentives to encourage its users to go to the gym.,pactapp.com,
ParkTAG,"Berlin, Berlin, Germany",ParkTAG was an app that helped users find open parking spots.,www.parktag.mobi,
Parse,"Menlo Park, California, United States","Parse offers cloud-based software developer kits that enable users to create apps for desktop, mobile, and embedded devices.",parse.com,"Parse was a growingly popular service in the developer’s community and when Facebook offered to purchase the startup in 2013 for $85 million, Parse’s founders found that it made sense for their business to join the Zuckerberg's team.

Facebook bought Parse at a time in which its stock was trading for lower than their IPO and it was not yet confident of how far its business model based on ad-serving would take them and wanted to test other possible business ideas. Thanks to Parse, Facebook was able to create a community of mobile app developers for itself. There could have also been a brief vision of developing cloud services that would match those offered by Amazon, Microsoft, and Google. However, once the Facebook business model was consolidated in the last few years making them billions, the social network lost interest in competing with the other giants in the cloud business as it would cost them millions of dollars. They were too far behind and Parse couldn't provide them with a long-term profitable source of revenue, in fact, it was most likely losing money. Facebook decided to shut down Parse in 2017 to let the team focus on other projects.

Read more on:
http://greenrobot.org/cloud/why-did-parse-fail/
https://willowtreeapps.com/ideas/parse-shutdown-what-it-means-and-what-you-can-do/
https://medium.com/developers-writing/they-never-wanted-to-host-your-app-the-real-reasons-why-parse-shut-down-6ec3d7d5c53c
https://medium.baqend.com/why-facebook-is-shutting-down-parse-22a8ee4f9d29
https://www.crunchbase.com/organization/parse"""
Path,"San Francisco, California, United States",Path is a mobile photo-sharing and messaging service for building personal social networks with up to 150 contacts.,path.com/,
Pathee,"Tokyo, Tokyo, Japan",tritrue is a search engine that finds specific information for people starting from their current location.,tritrue.com/plt/,
"Paytronage, Inc.","Manhattan, New York, United States",Marketplace for income share agreements,paytronage.co/,
Pearl,"Scotts Valley, California, United States",Pearl is dedicated to bringing the latest advanced driver assistance features to all drivers on the road today.,pearlauto.com/,
Pebble,"Palo Alto, California, United States",Pebble is a company that develops a technology designed for smart watches to connect with iPhone and Android smartphones using Bluetooth.,www.pebble.com/,
PeopleMatter,"Charleston, South Carolina, United States","PeopleMatter, Inc. develops the PeopleMatter platform, a cloud-based talent management system for needs of service-industries brands.",www.peoplematter.com,
Pepo,"Pune, Maharashtra, India",Pepo is a messaging platform that connects you with people who share your passions.,www.pepo.com,
Pepper.io,"Tsuen Wan, New Territories, Hong Kong",Pepper.io is a stealth mode startup..,www.pepper.io,
PepperTap,"Gurgaon, Haryana, India",PepperTap is India's largest and fastest grocery delivery service. Currently present in more than 25 cities.,www.peppertap.com,"Among the reasons why the company shut down even after receiving big investment money from investors, was the deep-seated perception in customers' minds that online platforms should provide cheaper solutions to their needs. To accommodate such expectations, PepperTap offered discounts and sales which were disproportionate to their account strength. PT also failed to weigh the scalability of their project before its full-blast expansion, which caused problems related to technology. For example, certain segments of their products malfunctioned and could not be accessed by customers on the platform.

PepperTap entered the online grocery business without sufficient preparation. It failed to acknowledge the need for deep pockets, large assortment, competitive prices and inventory management.

While 2015 was a great year for startups, and PepperTap was able to find venture capitalists relatively easily, 2016 brought a different scenario. Startups all over the world faced a slowdown in VC activities, and PepperTap had to bow down to the situation. The costs that the company had to bear were high compared to the profit it made. Since they operated without their own inventory, they needed to pay for outsourcing of inventory management plus technology, operation, etc.

PT founders also pointed out that the fact the Indian market was still unprepared for this type of service factored in as a reason that caused them to suspend their operations. The delivery fee for home delivery was seen as too high, particularly in second and third tiers cities or areas where the presence of delivery boys (kirana), was common and proved to be a tough competition to the online platform strategy.

Grocery shopping is also a favorite leisure activity after work among Indians and is often seen as an activity that brings the family together, making it an additional cultural challenge to Internet grocery businesses in India.

Read more on:
https://www.techinasia.com/raising-us50-million-indias-largest-online-grocer-shut-shop
https://therodinhoods.com/post/peppertap-good-bye-you-wont-be-missed/
http://www.fuckedupstartups.com/fs-analyser/peppertap-shutdown-grocery-delivery-business-model-flaw-something-else/
https://www.quora.com/Why-did-PepperTap-shut-down
https://www.crunchbase.com/organization/peppertap"
Performable,"Cambridge, Massachusetts, United States",Performable is a marketing automation company that develops software for analyzing sales and marketing performance.,www.performable.com,
Perfumora.com - The Scents Marketplace,"Palisades Park, New Jersey, United States",Perfumora.com is an open market for stores to sell perfume and bath products.,www.Perfumora.com,
PerkStreet Financial,"Boston, Massachusetts, United States",PerkStreet Financial is a banking platform that provides cash back opportunities and offers for spending on users’ debit cards.,www.perkstreet.com,
Pet Wireless,"San Diego, California, United States",IoT and Data Analytics for in-home pet health monitoring,tailio.com,
Petbrosia,"Cincinnati, Ohio, United States","Petbrosia, LLC provides a break through pet care product and service designed for the unique nutritional needs of individual pets.",www.petbrosia.com,
PFITR,"Little Rock, Arkansas, United States",The Kelly Blue Book of fixed income securities,pfitr.com,
Phenom,"Cleveland, Ohio, United States",The digital identity for every young athlete in the world.,www.phenom.co/,
PHHHOTO,"Brooklyn, New York, United States",Shoot instant moving pictures with PHHHOTO®,www.phhhoto.com/,
PhotoPharmics,"American Fork, Utah, United States",PhotPharmics develops medical lighting products for patients suffering from Parkinson’s disease.,photopharmics.com,
Picturelife,"New York, New York, United States","The smart home for photos. The future of personal photo archives. Store, sync, and rediscover.",picturelife.com/,
Pie Mapping,"London, England, United Kingdom",Pie provides a powerful connected fleet management solution for logistics and transportation companies.,www.piemapping.com/,
Pilotworks,"New York, New York, United States","Pilotworks fuels the growth of independent food companies with flexible kitchen spaces, powerful services and learning programs.",pilotworks.com/,
Pivit,"New York, New York, United States","Pivit® is an interactive marketplace that combines public opinion, news and data to produce live odds on global event outcomes.",pivit.io,
Pixate,"Palo Alto, California, United States","Pixate is a new platform for mobile interaction design. With it, you can create sophisticated interactive native prototypes without code.",www.pixate.com,"Pixate became quite popular in a couple of years after its launch and was later acquired by Google in 2015. After purchasing Pixate, Google made Pixate Studio available for general users for free and made Pixate cloud service more affordable. In 2016 Google announced they would be shutting down Pixate so that the team could focus on a new product that would still be related to the prototyping field. They were referring to Google’s Material tools for developers and designers launched in October 2016.

Read more on:
https://www.digitaltrends.com/mobile/pixate-to-close/
https://news.ycombinator.com/item?id=12643965
https://www.crunchbase.com/organization/pixate"
PixelOptics,"Roanoke, Virginia, United States",PixelOptics is a composite lens company developing electronic-focusing eyewear.,www.pixeloptics.com,
Pixelpipe,"San Francisco, California, United States","Pixelpipe is a media distribution gateway allowing users to publish text, photos, video, audio and documents.",pixelpipe.com,
Plain Vanilla,"Reykjavík, Gullbringusysla, Iceland",Creator of the popular mobile game Quizup,www.quizup.com/en,
Planwise,"San Mateo, California, United States",Planwise vision is to create technology that people trust to help them make financial decisions and take control of their personal economy.,www.planwise.com,
Plastc,"Palo Alto, California, United States",Plastc is dedicated to re-inventing the way you pay and re-imagining the traditional wallet.,www.plastc.com,
Playcez,"New Delhi, Delhi, India",Playcez develops social applications that allow individuals to discover places.,www.PlayCez.com,
Playrific,"Newton, Massachusetts, United States","Playrific connect brands kids through mobile apps that kids love – immediately, easily & at a fraction of the time & expense of other apps.",b2b.playrific.com/,
Pleek,"Paris, Ile-de-France, France",Pleek is a mobile messaging application that uses creative elements like stickers and photos to connect users.,pleekapp.com/,
Plextronics,"Pittsburgh, Pennsylvania, United States",Plextronics specializes in printed electronics. The company's focus is on organic light emitting diode (OLED) displays and lighting.,www.plextronics.com,
Pley,"Santa Clara, California, United States",Pley offers a toy subscription service.,www.pley.com,
PLUMgrid,"Santa Clara, California, United States",PLUMgrid is involved in virtual networking and SDN/NFV to deliver cloud infrastructure solutions that transform businesses.,plumgrid.com,
Pluribus Labs,"San Francisco, California, United States",Pluribus Labs distills unstructured content from a variety of sources into predictive analytics for investment professionals worldwide.,www.pluribuslabs.com,
PodPonics,"Atlanta, Georgia, United States","Podponics produces local food in urban centers, using an approach that does not require arable land.",www.podponics.com,
Pollen - Social Platform,"London, England, United Kingdom",Next Generation Social Publishing,—,
PolyRemedy,"Concord, Massachusetts, United States",PolyRemedy offers integrated wound management systems that extend wound care expertise to the point of care.,www.polyremedy.com,
Polyvore,"Mountain View, California, United States",Polyvore is a new way to discover and shop for the things you love.,polyvore.com,
popexpert,"San Francisco, California, United States",Popexpert is an online video education marketplace that lets students connect with experts in one-on-one video chats.,popexpert.com,
Positron Dynamics,"Port Angeles, Washington, United States",Positron dynamics develops positron beam technologies used in the testing of critical components in the aerospace and defense markets.,positrondynamics.com,
Post Intelligence,"San Francisco, California, United States",Post Intelligence,postintelligence.ai,
Postcard on the Run,"Los Angeles, California, United States",Postcard on the Run is a mobile app that allows users to take photographs from their mobile phone and personalize it with messages.,www.postcardontherun.com,
Posterous,"San Francisco, California, United States",Posterous is an innovative company focused on making blogging simple.,posterous.com,
Powa Technologies,"London, England, United Kingdom",Powa is an international commerce specialist that creates technologies to seamlessly integrate the physical and digital world.,www.powa.com,
Power Assure,"Santa Clara, California, United States","Power Assure offers data center infrastructure and energy management software for enterprises, government, and managed service providers.",www.powerassure.com,
Predictive Biosciences,"Lexington, Massachusetts, United States",Predictive Biosciences is a molecular diagnostics company developing diagnostic products for informed cancer management.,www.predictivebiosci.com,
Predixion Software,"San Juan Capistrano, California, United States",Predixion Software develops and markets collaborative predictive analytics solutions to drive informed decision-making with big data.,predixionsoftware.com,
Primary Data,"Los Altos, California, United States",Primary Data develops intelligence and automation software for enterprise data management across IT infrastructure and the cloud.,primarydata.com,
PrimeSense,"Tel Aviv, Tel Aviv, Israel","PrimeSense offers an interactive device that can see, track and react to user movements outside the computer.",primesense.com,
Pritle.,"Amsterdam, Noord-Holland, The Netherlands",Pritle (now Binck Forward) is a robo-advisor offering wealth management services.,app.binck.nl/,
Privlo,"Pasadena, California, United States",Privlo is a online lender for well-qualified borrowers who have fallen through the cracks inherent in the traditional agency.,www.privlo.com/,
ProFounder,"Los Angeles, California, United States","ProFounder is a crowdfunding platform that enables entrepreneurs to raise investment capital from friends, family, and community members.",www.profounder.com,
Prompt.ly,"San Francisco, California, United States","Prompt.ly is a mobile platform that enables independent service providers to carry out scheduling, promotional, and payment activities.",www.prompt.ly,
Propeller,"San Francisco, California, United States",Propeller is a web platform for creating and updating applications using a drag-and-drop interface.,usepropeller.com,
ProspX,"Austin, Texas, United States",ProspX offers real-time collaboration across companies and streamlines communication between insurance brokers and insurance carriers.,www.prospx.com,
Proximiant,"Sunnyvale, California, United States","Proximiant is an iPhone and Android app that allows shoppers to get digital receipts, receive coupons and deals directly to their phones.",www.proximiant.com,
Prynt,"San Francisco, California, United States",Prynt is an instant camera case for smartphones.,www.prynt.co,
Purple Squirrel Eduventures,"Bombay, Maharashtra, India",We provide an industry-based experiential learning program for students enabling them to make informed career choices.,www.purplesq.com/,
Qcept Technologies,"Atlanta, Georgia, United States",Qcept Technologies provides an inspection system to detect non-visual defects in chemicals.,www.qceptech.com,
Qik,"Redwood City, California, United States",Qik is an online messenger that allows its users to exchange video messages between individuals or within a group.,qik.com,
Quando Technologies,"Tel Aviv, Tel Aviv, Israel",Quando is the quick and easy way to find service providers and schedule an appointment.,www.quandoapp.com,
Quest Inspar,"Kent, Washington, United States","Quest Inspar provides pipeline cleaning and monitoring services to safeguard pipes used for the delivery of fuel, water and power.",questinspar.com,
Quibb,"San Francisco, California, United States",Quibb lets you share what you're reading for work.,quibb.com,
Quickly,"Pasadena, California, United States",Find what you want quickly. Coming soon to a search box near you.,quickly.co/,
Quiet,"Los Angeles, California, United States",Quiet is a anonymous social app that lets people instantly share their deepest thoughts or say just about anything anonymously for free!,www.quiet.ch,
Quitbit,"Boston, Massachusetts, United States",Quitbit is the smart lighter and app track your smoking.,www.quitbitlighter.com,
Quixey,"Mountain View, California, United States","Quixey, a mobile technology company, provides better access and engagement with apps.",www.quixey.com,
Qyk,"Bangalore, Karnataka, India",Qyk helps in finding quality and affordable local service provider near you.,www.qykapp.com/,
Radario,"Lewes, Delaware, United States",Radario is a cloud based marketing and sales platform for ticket sales.,radario.co,
Raden,"New York, New York, United States",Raden is the case for better travel.,www.raden.com/,
Rafter,"San Mateo, California, United States",Rafter is redesigning and transforming course materials management in higher education with its innovative textbooks-in-tuition solution.,www.rafter.com,"Rafter had much competition from the start and it had to deal with both logistical, financial and market challenges from the onset. For starters, it was hard to convince large institutions to buy from the company as a single-source network of providing texts and notes. Also, not all students were pleased with Rafter’s model as they thought they could get textbooks for more affordable prices on their own and they didn’t appreciate the fact that the company required them to return the books at the end of the term.

However, the most crucial challenge for the company was the evolution of technology and its widespread adoption and inclusion into universities. Colleges could now directly deal online with the publisher so the need to have a middle agent such as Rafter became minimal. Rafter announced its shut down in 2016. The digital assets of Rafter, including its Rafter360 solutions, were successively bought by eCampus in 2017.

Read more on:
https://www.edsurge.com/news/2016-10-14-why-rafter-failed-and-what-it-means-for-edtech
https://campustechnology.com/articles/2016/10/11/rafter-shuts-down.aspx
https://www.crunchbase.com/organization/rafter"
Ranku,—,na,—,
Raptr,"Mountain View, California, United States",Raptr is a social platform that automatically updates a person’s gaming status in real-time.,raptr.com,
Ravn,"San Francisco, California, United States",RAVN is an activities search and booking engine that allows people to discover and pay for their online activities.,ravn.com,
Rdio,"San Francisco, California, United States","Rdio is a digital music service provider reinventing the way people discover, listen to and share music.",www.rdio.com/,"Although Rdio developed an excellent product, its weakness was in the close to non-existent marketing and distribution department. The fact that they reached the market before Spotify, didn’t help them as they little momentum they initially had was completely lost once Spotify appeared on the scene.

For one, Spotify had an impressive marketing strategy and a business model that made it easier for them to gain more subscribers. While Rdio required users to become paying customers to listen to their streaming service, Spotify broke that entry barrier and offered free music thanks to the paid advertising it incorporated into its product.

Rdio tried a couple of pivoting strategies but these came too late and Spotify had already gained 75 million users (they surpassed 140 million in 2017, 50 million of which were paying subscribers). A mix of bad timing, reluctant leadership, and wrong priorities was what finally caused Rdio to go out of business.

Read more on:
https://www.theverge.com/2015/11/17/9750890/rdio-shutdown-pandora
https://www.engadget.com/2015/11/18/rise-and-fall-of-rdio/
https://www.billboard.com/articles/business/7519014/rdio-bankruptcy-story-how-it-happened-failing-streaming-service
https://www.quora.com/Why-did-Rdio-fail-Why-did-Spotify-succeed-where-they-couldnt
https://www.crunchbase.com/organization/rdio"
Reachify,"New York, New York, United States",Business Software Decisions. Simplified.,reachify.com/,
Reaction,"Austin, Texas, United States","Reaction, Inc. is an innovative product company that designs and manufactures hardware and software to (re)meet a basic human need: shelter.",www.reactioninc.com,
Readyforce,"San Francisco, California, United States",Readyforce is the first professional network designed and built for the specific needs of college students.,www.readyforce.com,
ReadyForZero,"Los Angeles, California, United States",ReadyForZero creates online financial software for actively managing personal debt and credit.,www.readyforzero.com,
Receivables Exchange,"New York, New York, United States",Receivables Exchange is an auction based marketplace connecting large corporate sellers of receivables to a broad network of buyers.,recx.com/,
Red 5 Studios,"Laguna Hills, California, United States",Red 5 Studios is a developer of multiplayer online games and entertainment.,red5studios.com,
Redbird (Acquired by Airware),"Paris, Ile-de-France, France",Redbird was acquired by Airware in September 2016. Redbird developed the most advanced cloud solution for commercial drones for AEC.,www.getredbird.com,
redBus.in,"Bangalore, Karnataka, India",redBus is an India-based bus ticketing company that sells tickets through online and offline stores.,www.redbus.in,
Redwood Bioscience,"Emeryville, California, United States",Redwood Bioscience uses precision protein-chemical engineering to develop optimized and novel biotherapeutics.,www.redwoodbioscience.com,
Referly,"San Francisco, California, United States","Referly is an online referral system for social networks that tracks the links users share, and rewards them for their friends’ actions.",refer.ly,
Remix Media,"San Francisco, California, United States","Remix Media is building a mobile app that allows its users to mashup video content and overlay animations, text, and audio.",www.remixmediainc.com,
RendrFX,"Erie, Pennsylvania, United States",RendrFX is a SaaS based online motion graphics video creation platform enabling businesses and consumers to create customized HD videos.,www.rendrfx.com/,
Rennovia,"Menlo Park, California, United States",Rennovia is a chemical process technology development company focused on cost reduction over current petrochemical processes.,www.rennovia.com,
RethinkDB,"Mountain View, California, United States",RethinkDB is an open-source distributed NoSQL database storing JSON documents and scaling data for applications.,www.rethinkdb.com,"RethinkDB founder highlighted in a postmortem some of the reasons for which he believed his company failed to thrive despite that fact that they had a good product.

Choosing the ‘wrong market’ was mentioned as one of their major mistakes. Since the beginning they were taken by their clients as being an open-source tool and pretty much no one wanted to pay for it. If a substantial price barrier would have been put, users would have probably searched for another tool in the ocean of free and open source tools that other developers make available. Another major blunder was that despite they focused on seemingly important metrics, these weren’t the metrics users and clients were primarily interested in. Their ‘metrics of goodness’ according to the startup were releasing a flawless product (and yet their successful competitors at MongoDB became very popular even though they had an initial buggy product), design a simple interface, and database consistency. On the other hand, customers wanted the products to be available as soon as possible (they had to wait almost 3 years for RethinkDB), speedy performance, and a good and tried way to store JSON documents and create reports.

Fortunately, enough, RethinkDB technology won’t fall into oblivion as it has been acquired a couple of months after its 2016 shutdown by the Linux Foundation (CNFC).

Read more on:
https://www.defmacro.org/2017/01/18/why-rethinkdb-failed.html
https://www.theregister.co.uk/2017/02/07/rethinkdb_lands_license_to_live/
https://www.crunchbase.com/organization/rethinkdb"
RetraceHealth,"Minneapolis, Minnesota, United States","RetraceHealth is a primary care clinic that comes to you. Through home and video visits, we are able to treat you wherever you need us.",—,
Reveal,"Seattle, Washington, United States",Reveal is an OS X application that connects its users instantly in one-on-one chats with new people nearby or across the globe.,www.revealchat.com,
Revolt Technology,"Portland, Oregon, United States",ReVolt Technology is a technology company developing rechargeable zinc-air batteries.,www.revolttechnology.com,
Revolv,"Boulder, Colorado, United States",Revolv is a monitoring and control system that allows users to control their connected devices from a single hub.,revolv.com,
RewardMe,"Mountain View, California, United States","RewardMe is a real-time intelligent CRM solution for local commerce, providing merchants with customer insights.",RewardMe.com,"According to one of the co-founders, the major pitfall their company had fallen into was that of wanting to scale up the company prematurely. The way they did business caused to incur severe financial expenses that could have easily be avoided if the company had taken the lean approach to building its business. RewardMe acquired most of its customers by organizing expensive conferences and arranging for expensive meetings with potential investors, they also held inventory before they actually had customers for them. When they were not able to raise the next round fast enough, it disheartened a portion of the key individuals on the group. Without another financial support and having numerous key individuals worn out, RewardMe did not have any assets to push forward. They hence decided to decline the money offered by investors at the last minute as it was too late. The founders could not guarantee they could deliver and eventually suspended their services.

Read more on:
https://yukaichou.com/chou-personal/account-failed-startup-rewardme-ceo/#.W0uONNhKgyk
https://www.crunchbase.com/organization/rewardme"
"Rezli, Inc.","Chattanooga, Tennessee, United States",Rezli is a social networking and career building platform that empowers creative technologists to turn their passion into a career.,www.rezli.com/,
Ridejoy,"San Francisco, California, United States","Ridejoy is a market platform enabling users to share, offer, request and book rides with others.",ridejoy.com,
RidePal,"San Francisco, California, United States",RidePal provides shared and Wi-Fi-enabled commuter bus solutions for individuals and companies.,www.ridepal.com,
RiseML,"Berlin, Berlin, Germany",RiseML creates software to help machine learning teams scale their deep learning infrastructure.,riseml.com,
Rithmio,"Chicago, Illinois, United States",Rithmio is a gesture recognition company that provides motion recognition software for wearables and connected clothing.,rithmio.com/,
Roamz,"Surry Hills, New South Wales, Australia",Roamz is a location-based application that informs users about the happenings in their cities.,www.roamz.com,
Robocoin,"San Francisco, California, United States","The easiest way for people to buy, sell, store and send bitcoin. The world's largest bitcoin ATM network.",robocoin.com,
ROCK PAMPER SCISSORS,"London, England, United Kingdom",The default hairstyle app for the ‘now’ generation.,www.rockpamperscissors.co.uk/,
RocketClub,"San Francisco, California, United States",RocketClub is a website where anyone can discover cool startups and get company stock for adopting & evangelizing products early.,rocketclub.co,
RockYou,"San Francisco, California, United States","RockYou is an interactive media company that owns and partners with dozens of game titles across Facebook, web and mobile.",www.rockyou.com,
Roder,"Delhi, Delhi, India",Roder is a cab aggregator & technology platform for outstation travels in India. Roder provides cabs at 50% cheaper rates than market.,roder.in,
Roomorama,"New York, New York, United States",Roomorama is the leading platform for professionally-managed vacation and short-term accommodations worldwide.,www.roomorama.com,
